4,3,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
4,4,Reading my kindle2...  Love it... Lee childs is good read.
4,5,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
4,6,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
4,7,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
4,8,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
0,9,Fuck this economy. I hate aig and their non loan given asses.
4,10,Jquery is my new best friend.
4,11,Loves twitter
4,12,how can you not love Obama? he makes jokes about himself.
2,13,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
0,14,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
4,15,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
4,16,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
0,17,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
4,18,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
0,19,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
4,20,i love lebron. http://bit.ly/PdHur
0,21,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,22,@Pmillzz lebron IS THE BOSS
4,23,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
4,24,lebron and zydrunas are such an awesome duo
4,25,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
4,26,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
4,33,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
4,34,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
4,35,In montreal for a long weekend of R&amp;R. Much needed.
4,46,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
4,47,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
4,49,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
2,50,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
2,117,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
4,118,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
0,119,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
0,120,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
0,121,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
0,122,I'm itchy and miserable!
0,123,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
4,124,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
4,125,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
4,131,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
4,132,is going to sleep then on a bike ride:]
